,ActivityDate,Start Date,End Date,Id,Duration Months,ActivityDateDifYear,completed,Avg Completed Duration
0,2014-03-01,2014-02-14,2020-01-01,1,70,0.04106860510482761,0.0,
0,2014-04-01,2014-02-14,2020-01-01,1,70,0.12594372232147136,0.0,
0,2014-05-01,2014-02-14,2020-01-01,1,70,0.20808093253112658,0.0,
0,2014-06-01,2014-02-14,2020-01-01,1,70,0.29295604974777034,0.0,
0,2014-07-01,2014-02-14,2020-01-01,1,70,0.37509325995742554,0.0,
0,2014-08-01,2014-02-14,2020-01-01,1,70,0.4599683771740693,0.0,
0,2014-09-01,2014-02-14,2020-01-01,1,70,0.544843494390713,0.0,
0,2014-10-01,2014-02-14,2020-01-01,1,70,0.6269807046003683,0.0,
0,2014-11-01,2014-02-14,2020-01-01,1,70,0.711855821817012,0.0,
0,2014-12-01,2014-02-14,2020-01-01,1,70,0.7939930320266673,0.0,
0,2015-01-01,2014-02-14,2020-01-01,1,70,0.8788681492433109,0.0,
0,2015-02-01,2014-02-14,2020-01-01,1,70,0.9637432664599547,0.0,
0,2015-03-01,2014-02-14,2020-01-01,1,70,1.040404662655633,0.0,
0,2015-04-01,2014-02-14,2020-01-01,1,70,1.1252797798722767,0.0,
0,2015-05-01,2014-02-14,2020-01-01,1,70,1.2074169900819318,0.0,
0,2015-06-01,2014-02-14,2020-01-01,1,70,1.2922921072985756,0.0,
0,2015-07-01,2014-02-14,2020-01-01,1,70,1.374429317508231,0.0,
0,2015-08-01,2014-02-14,2020-01-01,1,70,1.4593044347248745,0.0,
0,2015-09-01,2014-02-14,2020-01-01,1,70,1.5441795519415182,0.0,
0,2015-10-01,2014-02-14,2020-01-01,1,70,1.6263167621511736,0.0,
0,2015-11-01,2014-02-14,2020-01-01,1,70,1.7111918793678174,0.0,
0,2015-12-01,2014-02-14,2020-01-01,1,70,1.7933290895774725,0.0,
0,2016-01-01,2014-02-14,2020-01-01,1,70,1.8782042067941163,0.0,
